semester,courseTitle,creditHours,preRequisite
1,Introduction to Info. & Comm. Technologies,3,
1,Programming Fundamentals,3,
1,English Composition & Comprehension,3,
1,Applied Physics,3,
1,Programming Fundamentals Lab,1,
1,Calculus & Analytical Geometry,3,
2,Object Oriented Programming,3,Programming Fundamentals
2,Object Oriented Programming Lab,1,Programming Fundamentals Lab
2,Digital Logic Design,3,Applied Physics
2,Digital Logic Design Lab,1,
2,Communication & Presentation Skills,3,English Composition & Comprehension
2,Probability & Statistics,3,
2,University Elective,3,
3,Comp. Organization & Assembly Language,3,
3,Comp. Organization & Assembly Language Lab,1,
3,Data Structures & Algorithms,3,Object Oriented Programming
3,Data Structures & Algorithms Lab,1,Object Oriented Programming Lab
3,Professional Practices,3,
3,CS Supporting,3,
4,Design & Analysis of Algorithms,3,Data Structures & Algorithms
4,Database Systems,3,Data Structures & Algorithms
4,Database Systems Lab,1,Data Structures & Algorithms Lab
4,Linear Algebra,3,
4,Theory of Automata,3,
4,University Elective,3,
5,Compiler Construction,3,Theory of Automata
5,CS Supporting,3,
5,Operating Systems,3,Data Structures & Algorithms
5,Operating Systems Lab,1,Data Structures & Algorithms
5,Software Engineering,3,
5,CS Supporting,3,
6,Artificial Intelligence,3,Discrete Structures
6,Artificial Intelligence Lab,1,Discrete Structures
6,Computer Networks,3,
6,Computer Networks Lab,1,
6,CS Elective 1,3,
6,CS Elective 2,3,
6,Technical & Business Writing,3,
7,CS Elective 3,3,
7,CS Elective 4,3,
7,Final Year Project,3,
7,University Elective,3,
7,Parallel & Distributed Computing,3,Operating Systems
7,Pakistan Studies,2,
8,CS Elective 5,3,
8,University Elective,3,
8,Final Year Project,3,
8,Information Security,3,
8,Islamic Studies/ Ethics,2,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
CS Elective,CS Elective,3,
CS Elective,CS Elective,3,
CS Elective,CS Elective,3,
CS Elective,CS Elective,3,
CS Elective,CS Elective,3,
CS Supporting ,Differential Equations ,3,
CS Supporting ,Multi-variate Calculus,3,
CS Supporting ,Graph Theory,3,
CS Supporting ,Theory of Programming Languages,3,
CS Supporting ,Numerical Computing,3,
CS Core,Compiler Construction,3,
CS Core,Comp. Organization & Assembly Language,3,
CS Core,Comp. Organization & Assembly Language Lab,1,
CS Core,Digital Logic Design,3,
CS Core,Digital Logic Design Lab,1,
CS Core,Design & Analysis of Algorithms,3,
CS Core,Parallel & Distributed Computing,3,
CS Core,Artificial Intelligence,3,
CS Core,Artificial Intelligence Lab,1,
CS Core,Theory of Automata,3,
University Elective,Foreign Language ,2,
University Elective,Social Service,1,
University Elective,Management Related,3,
University Elective,Social Science Related,3,
University Elective,Economy Related,3,
